flow,compartment,unit,amount
Polonium-210,water,kilo Becquerel,0.35046990663311656
Carbon-14,Emissions / Emissions to air,kilo Becquerel,0.3355084822029365
Sodium,water,kilogram,0.3347460814708416
Krypton-85m,air,kilo Becquerel,0.3302059785965472
Kaolinite,soil,kilogram,0.3267296555196801
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,0.3189762370537713
"Solids, Inorganic",water,kilogram,0.3156428878079104
Silicon,Emissions / Emissions to water,kilogram,0.31139917214761365
Particles (> PM10),air,kilogram,0.3109398636365371
Xenon-135,air,kilo Becquerel,0.31084573432311974
Potassium,water,kilogram,0.30979560463484873
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.30620254252220447
From Forest,Land use / Land transformation,square meter,0.30430358220908876
To Unspecified,Land use / Land transformation,square meter,0.2978342143539285
Uranium-238,Emissions / Emissions to water,kilo Becquerel,0.29511858908601096
Molybdenum,Resources / Resources from ground,kilogram,0.28019548240933045
Hydrogen Chloride,Emissions / Emissions to air,kilogram,0.2797101772147503
"Radioactive Species, Other Beta Emitters",air,kilo Becquerel,0.26710217445558426
Ammonium,Emissions / Emissions to water,kilogram,0.26577805467355203
To Forest,Land use / Land transformation,square meter,0.257539805123717
Sulfur,Resources / Resources from ground,kilogram,0.25565623263836174
Sulfate Ion,air,kilogram,0.24106731804225964
Lead,Resources / Resources from ground,kilogram,0.23982509299479057
Potassium-40,air,kilo Becquerel,0.2377163396596905
Ammonia,Emissions / Emissions to air,kilogram,0.23721222532930505
Carbon,soil,kilogram,0.23713985692456566
To Dump Site,Land use / Land transformation,square meter,0.22268839290245648
"Clay, bentonite",resources / in ground,kilogram,0.21911366259046414
Uranium-238,Emissions / Emissions to air,kilo Becquerel,0.20838739164116746
Boron,Emissions / Emissions to water,kilogram,0.20014785803378124
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,0.18771029910158912
Hydrogen,air,kilogram,0.18632400513168854
To Arable,Land use / Land transformation,square meter,0.1843067389887611
Magnesium,Emissions / Emissions to water,kilogram,0.18093714757179286
Iron,Emissions / Emissions to water,kilogram,0.17944539305100515
Gypsum,resources / in ground,kilogram,0.17704458579932603
Fluorine,natural resource,kilogram,0.1760387086673789
Colemanite,soil,kilogram,0.15674606659755183
Carbonate Ion,water,kilogram,0.15621847125453067
nickel,Emissions / Emissions to water,kilogram,0.15430419994220354
cobalt,Emissions / Emissions to water,kilogram,0.1518439592700431
Particles (PM2.5),Emissions / Emissions to air,kilogram,0.15037925889832854
"Noise, aircraft, passenger",non material emissions / unspecified,person kilometer,0.1390533889711341
"Energy, Geothermal, Converted",natural resource,megajoule,0.13783075644667128
Uranium-235,Emissions / Emissions to water,kilo Becquerel,0.1313910772593828
Radium-228,air,kilo Becquerel,0.12714349646672035
Potassium,water,kilogram,0.1249471172965549
"Wood, soft, standing",resources / biotic,cubic meter,0.1234487320588999
Biological Oxygen Demand,water,kilogram,0.12179809372416325
Acetone,Emissions / Emissions to air,kilogram,0.12132102483325316
Particles (> PM10),air,kilogram,0.12052874880917941
Uranium alpha,emissions to air / low. pop.,kilo Becquerel,0.11870319473001165
"Agriculture, Mosaic",Land use / Land occupation,square meter-year,0.11550820151529324
Krypton-87,air,kilo Becquerel,0.11495119242131095
Krypton-88,air,kilo Becquerel,0.11436304430154966
Ulexite,resources / in ground,kilogram,0.11392951572933091
Carbon disulfide,Emissions / Emissions to air,kilogram,0.11054955333409407
Radon-220,air,kilo Becquerel,0.10420111449010205
Sodium,soil,kilogram,0.10002312980555074
Shrub Land,Land use / Land occupation,square meter-year,0.09990803369491112
vanadium,Emissions / Emissions to water,kilogram,0.0993493716335828
Silicon,Emissions / Emissions to air,kilogram,0.09374926092408442
Nitrous Oxide,Emissions / Emissions to air,kilogram,0.09284112362721521
Thorium-232,emissions to air / high. pop.,kilo Becquerel,0.0901145549718978
Potassium,water,kilogram,0.08555261564688187
From Arable,Land use / Land transformation,square meter,0.08462034401387629
arsenic,Emissions / Emissions to water,kilogram,0.08442210979117189
Bromine,Emissions / Emissions to water,kilogram,0.08240326033295592
Xenon-137,air,kilo Becquerel,0.0821372532343195
Thorium-232,emissions to water / river,kilo Becquerel,0.08184420074468733
Particles (PM10),Emissions / Emissions to air,kilogram,0.08135500119102157
Zinc,Emissions / Emissions to water,kilogram,0.08027960378105248
antimony,Emissions / Emissions to water,kilogram,0.08017244148578963
"From Pasture/meadow, Intensive",Land use / Land transformation,square meter,0.07847610344737038
Uranium-234,Emissions / Emissions to water,kilo Becquerel,0.07812791865565838
Particles (PM10),Emissions / Emissions to air,kilogram,0.07783990735099044
Ammonia,Emissions / Emissions to air,kilogram,0.07710800276137668
From Seabed,land use,square meter,0.07619724457706507
Arable,Land use / Land occupation,square meter-year,0.0761290114842285
barium,Emissions / Emissions to water,kilogram,0.07285493226065676
"Carbon, organic, in soil or biomass stock",resources / in ground,kilogram,0.0707766433332769
HFC-152a,Emissions / Emissions to air,kilogram,0.07042431240472023
Xenon-133m,air,kilo Becquerel,0.07024687204743209
tungsten,Emissions / Emissions to water,kilogram,0.06971108233650795
Potassium-40,water,kilo Becquerel,0.06879834100652087
Ethane,Emissions / Emissions to air,kilogram,0.06590934283758816
Iron,Emissions / Emissions to water,kilogram,0.0655749667722296
Methane (biogenic),Emissions / Emissions to air,kilogram,0.06510855937058667
Thorium-234,water,kilo Becquerel,0.06482369367836448
Protactinium-234,water,kilo Becquerel,0.0647928277467338
To Water Bodies,land use,square meter,0.06397158453585478
From Shrub Land,Land use / Land transformation,square meter,0.06396852286525063
Carbon Monoxide (biogenic),Emissions / Emissions to air,kilogram,0.06359738321486509
Silver,Resources / Resources from ground,kilogram,0.06300181712738114
"Oils, Unspecified",Emissions / Emissions to water,kilogram,0.06272254562856626
Chemical Oxygen Demand,water,kilogram,0.06226044063036637
Particles (PM2.5),Emissions / Emissions to air,kilogram,0.058612001002543546
Thorium-228,air,kilo Becquerel,0.05855561611250235
Hydrogen Chloride,Emissions / Emissions to air,kilogram,0.05792117852399829
"Wood, hard, standing",resources / biotic,cubic meter,0.05591385401579612
lead,Emissions / Emissions to water,kilogram,0.05447243628715347
"To Traffic Area, Road Network",Land use / Land transformation,square meter,0.05404144555683129
cadmium,Emissions / Emissions to water,kilogram,0.05268714184370301
"DOC, Dissolved Organic Carbon",water,kilogram,0.05211011550752376
molybdenum,Emissions / Emissions to water,kilogram,0.05184233717760328
Xenon-138,air,kilo Becquerel,0.0515902666182511
tin,Emissions / Emissions to water,kilogram,0.05117343479852414
Calcium,Emissions / Emissions to soil,kilogram,0.05115962096037097
Sodium chloride,resources / in water,kilogram,0.05080389125496817
fluorane,Emissions / Emissions to air,kilogram,0.04777655759168219
Sodium sulfate,resources / in ground,kilogram,0.04746261034980716
Xenon-137,air,kilo Becquerel,0.0469930620582993
Chlorate ion,Emissions / Emissions to water,kilogram,0.04686097715853709
Cesium-137,Emissions / Emissions to water,kilo Becquerel,0.046282636238938614
chloride,Emissions / Emissions to soil,kilogram,0.04475263577942296
"From Forest, Natural",Land use / Land transformation,square meter,0.04405090289827608
From Dump Site,Land use / Land transformation,square meter,0.04311620475889554
Strontium,Emissions / Emissions to water,kilogram,0.04231515786314712
selenium,Emissions / Emissions to water,kilogram,0.04047858757478856
Calcium,Emissions / Emissions to soil,kilogram,0.03918689028012809
Carbon,soil,kilogram,0.03835524002867634
Cobalt-60,Emissions / Emissions to water,kilo Becquerel,0.0380098923980626
Strontium,Emissions / Emissions to water,kilogram,0.0379906427686583
Uranium-238,Emissions / Emissions to air,kilo Becquerel,0.03766484714366142
Cobalt-58,Emissions / Emissions to water,kilo Becquerel,0.03729315664270332
Aluminium,Emissions / Emissions to water,kilogram,0.03631434196264537
Carbonate Ion,water,kilogram,0.034751174577363333
Uranium-234,Emissions / Emissions to air,kilo Becquerel,0.03414704620784659
Chromium VI,"emissions to water / groundwater, long-term",kilogram,0.03379640793229287
Particles (> PM10),air,kilogram,0.03333343513688633
2-hydroxybenzonitrile,Emissions / Emissions to air,kilogram,0.03328182003414801
Hydrogen,air,kilogram,0.03295954250830478
fluorane,Emissions / Emissions to air,kilogram,0.03271972234603736
Barium sulfate,Emissions / Emissions to water,kilogram,0.032505542186183546
"To Traffic Area, Rail/road Embankment",Land use / Land transformation,square meter,0.031053587526113903
Krypton-89,air,kilo Becquerel,0.029972151337836046
Water,Emissions / Emissions to water,cubic meter,0.029567722700240866
Antimony,Emissions / Emissions to water,kilogram,0.02908916984759343
"From Traffic Area, Rail/road Embankment",Land use / Land transformation,square meter,0.02746670099986778
Artificial Areas,Land use / Land occupation,square meter-year,0.0272299061658308
iron,Emissions / Emissions to soil,kilogram,0.025578811776001163
To Pasture/meadow,Land use / Land transformation,square meter,0.025424939988975947
"Nitrogen, Total (excluding N2)",Emissions / Emissions to water,kilogram,0.024948835102831267
Zirconium,Resources / Resources from ground,kilogram,0.0240402647829711
Aluminium,Emissions / Emissions to soil,kilogram,0.02314865121486523
"Carboxylic Acids, Unspecified",water,kilogram,0.023142364737131754
Nitrogen,water,kilogram,0.023107788862631855
Nitrous Oxide,Emissions / Emissions to air,kilogram,0.022513535386724515
Silver-110,Emissions / Emissions to water,kilo Becquerel,0.02244814091764419
Nitrogen,air,kilogram,0.02210183967499122
Argon-41,air,kilo Becquerel,0.021967021699489265
Butane,Emissions / Emissions to air,kilogram,0.021476495351245364
Acetic Acid,Emissions / Emissions to air,kilogram,0.02093501005942669
Scandium,"emissions to water / groundwater, long-term",kilogram,0.02092571558427728
Ammonia,Emissions / Emissions to air,kilogram,0.02077374556763379
Propylene Oxide,Emissions / Emissions to water,kilogram,0.020604210424655853
Ammonium,Emissions / Emissions to water,kilogram,0.020057431076125978
Particles (PM10),Emissions / Emissions to air,kilogram,0.02000006080482446
To Shrub Land,Land use / Land transformation,square meter,0.01995207899479717
"Actinides, Radioactive, Unspecified",water,kilo Becquerel,0.019870813626929516
Ethylene,Emissions / Emissions to air,kilogram,0.019357872646432264
Pentane,Emissions / Emissions to air,kilogram,0.019185645569586542
Propylene,Emissions / Emissions to water,kilogram,0.01915818216304779
Cyanide,Emissions / Emissions to water,kilogram,0.018745411629422087
iron,Emissions / Emissions to air,kilogram,0.018173571018338382
Propane,Emissions / Emissions to air,kilogram,0.01806632867719393
Fluoride Ion,Emissions / Emissions to water,kilogram,0.018054144732336883
Zinc,Emissions / Emissions to water,kilogram,0.018031261935944405
Iron,Emissions / Emissions to soil,kilogram,0.01683510035152418
Aluminium,Emissions / Emissions to air,kilogram,0.01671237983126406
Copper,Emissions / Emissions to air,kilogram,0.0165646069260207
Methanol,Emissions / Emissions to water,kilogram,0.016365558640162314
"Oils, Unspecified",Emissions / Emissions to water,kilogram,0.016356307008559147
"Carboxylic Acids, Unspecified",water,kilogram,0.016067879797738154
Barium,Emissions / Emissions to water,kilogram,0.01598301950113482
"Nitrogen, organic bound","emissions to water / groundwater, long-term",kilogram,0.015896271762059908
Sulfate Ion,air,kilogram,0.015388173813870332
Thorium-230,Emissions / Emissions to air,kilo Becquerel,0.01510939475418863
Manganese,Emissions / Emissions to water,kilogram,0.014954742251877855
Ozone,air,kilogram,0.014792133304687115
Lead,Emissions / Emissions to air,kilogram,0.014779016228146511
Benzene,Emissions / Emissions to water,kilogram,0.014643407926531586
"Water, salt, sole",resources / in water,cubic meter,0.014394704369005364
Pentane,Emissions / Emissions to air,kilogram,0.014343298888399483
Borax,resources / in ground,kilogram,0.014334912247427799
Xylene,Emissions / Emissions to air,kilogram,0.01413896708615647
Nitrite,Emissions / Emissions to water,kilogram,0.014135333889244064
Radon-220,air,kilo Becquerel,0.013366787220011311
Particles (PM2.5),Emissions / Emissions to air,kilogram,0.013333373945254155
Benzene,Emissions / Emissions to air,kilogram,0.01328514335552378
beryllium,Emissions / Emissions to water,kilogram,0.013191328002209166
