flow,compartment,unit,amount
"Carboxylic Acids, Unspecified",water,kilogram,1.3480170780194209e-05
Barium,Emissions / Emissions to water,kilogram,1.2639597567763798e-05
Aluminium,Emissions / Emissions to air,kilogram,1.2626617564467268e-05
Magnesium,Emissions / Emissions to soil,kilogram,1.2617647790373815e-05
Iron,Emissions / Emissions to water,kilogram,1.243608453030072e-05
copper,Emissions / Emissions to water,kilogram,1.2150334774615202e-05
Particles (> PM10),air,kilogram,1.196243855698362e-05
Thorium-234,water,kilo Becquerel,1.1432771034194179e-05
Protactinium-234,water,kilo Becquerel,1.1430783868822117e-05
Propane,Emissions / Emissions to air,kilogram,1.0752642927619388e-05
Butane,Emissions / Emissions to air,kilogram,1.0651955721333325e-05
To Water Bodies,land use,square meter,1.063807138511958e-05
"Wood, soft, standing",resources / biotic,cubic meter,1.009048873305449e-05
Sulfate Ion,air,kilogram,9.622900312149431e-06
Potassium-40,water,kilo Becquerel,9.542025520030058e-06
Barium(2+),Emissions / Emissions to water,kilogram,9.520782130510726e-06
"Permanent Crops, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,9.4851416036309e-06
sulfur,Emissions / Emissions to soil,kilogram,9.463234872489525e-06
From Mineral Extraction Site,Land use / Land transformation,square meter,8.999547474253621e-06
Carbon Monoxide (biogenic),Emissions / Emissions to air,kilogram,8.839081757513003e-06
"Carbon, organic, in soil or biomass stock",resources / in ground,kilogram,8.811111657342607e-06
Total Organic Carbon,water,kilogram,8.073899864480792e-06
Polonium-210,water,kilo Becquerel,7.991076057187795e-06
Barium(2+),Emissions / Emissions to soil,kilogram,7.88602879334024e-06
Molybdenum,Resources / Resources from ground,kilogram,7.786074587440243e-06
Lead,Resources / Resources from ground,kilogram,7.763737970709938e-06
Helium,air,kilogram,7.655080981018605e-06
Particles (PM2.5),Emissions / Emissions to air,kilogram,7.490815855188738e-06
Potassium,water,kilogram,7.390338751679066e-06
Aluminium,Emissions / Emissions to water,kilogram,7.035747304139399e-06
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,6.949854675794197e-06
barium,Emissions / Emissions to water,kilogram,6.907202242215276e-06
Uranium-238,Emissions / Emissions to air,kilo Becquerel,6.807502988850211e-06
"Actinides, Radioactive, Unspecified",water,kilo Becquerel,6.5619058772823295e-06
Particles (PM10),Emissions / Emissions to air,kilogram,6.533954306541393e-06
Ethane,Emissions / Emissions to air,kilogram,6.532910974445048e-06
Cesium-137,Emissions / Emissions to water,kilo Becquerel,6.45669269396373e-06
Agriculture,Land use / Land occupation,square meter-year,6.2641337458939685e-06
"From Forest, Natural",Land use / Land transformation,square meter,6.129676135414075e-06
Carbon,soil,kilogram,6.113367916592423e-06
Hexane,Emissions / Emissions to air,kilogram,5.962421628143734e-06
Particles (> PM10),air,kilogram,5.836862433808026e-06
Nitrogen,air,kilogram,5.8059188735394125e-06
Iodide Ion,Emissions / Emissions to water,kilogram,5.701782518966867e-06
Particles (PM10),Emissions / Emissions to air,kilogram,5.621434211601508e-06
Uranium-234,Emissions / Emissions to air,kilo Becquerel,5.522490905007079e-06
Potassium,soil,kilogram,5.520704250886276e-06
"Wood, hard, standing",resources / biotic,cubic meter,5.46901257259543e-06
Hydrogen Chloride,Emissions / Emissions to air,kilogram,5.31110112693121e-06
Carbon-14,Emissions / Emissions to air,kilo Becquerel,5.1585992935293294e-06
2-hydroxybenzonitrile,Emissions / Emissions to air,kilogram,4.90106087748699e-06
Aluminium,Emissions / Emissions to water,kilogram,4.821009071454574e-06
"DOC, Dissolved Organic Carbon",water,kilogram,4.795934871202464e-06
Iron,Emissions / Emissions to soil,kilogram,4.759464469291205e-06
cobalt,Emissions / Emissions to water,kilogram,4.529330742624143e-06
Chromium VI,"emissions to water / groundwater, long-term",kilogram,4.491261576228718e-06
Iodide Ion,Emissions / Emissions to water,kilogram,4.273606965153653e-06
Iodine-129,Emissions / Emissions to air,kilo Becquerel,4.041290171996042e-06
hydrogen sulfide,Emissions / Emissions to water,kilogram,3.983653957454589e-06
