flow,compartment,unit,amount
Radium-226,Emissions / Emissions to air,kilo Becquerel,9.141242193004889e-07
Cobalt-58,Emissions / Emissions to water,kilo Becquerel,9.108857633040638e-07
Uranium alpha,emissions to air / low. pop.,kilo Becquerel,8.433146028966521e-07
Silver-110,Emissions / Emissions to water,kilo Becquerel,8.407801609078145e-07
Cobalt-60,Emissions / Emissions to water,kilo Becquerel,8.340728550598764e-07
Xenon-133m,air,kilo Becquerel,8.17411129644549e-07
Nitrate,Emissions / Emissions to water,kilogram,8.017496625486396e-07
Lead-210,Emissions / Emissions to air,kilo Becquerel,7.908664762774337e-07
Potassium chloride,resources / in ground,kilogram,7.8630361240109e-07
Silicon,Emissions / Emissions to water,kilogram,7.564286373606194e-07
Uranium-235,Emissions / Emissions to water,kilo Becquerel,7.239377724046269e-07
Calcium,Emissions / Emissions to water,kilogram,7.109884478568634e-07
"Organic carbon, placed in landfill",resources / in ground,kilogram,7.008428976721503e-07
zinc,Emissions / Emissions to water,kilogram,6.890876616150111e-07
Construction Site,Land use / Land occupation,square meter-year,6.530608351317093e-07
Methane (biogenic),Emissions / Emissions to air,kilogram,6.476436267805159e-07
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,5.89343657888695e-07
Seabed,land use,square meter-year,5.787957697717177e-07
"Noise, aircraft, freight",non material emissions / unspecified,ton kilometer,5.679600818260624e-07
Basalt,soil,kilogram,5.301830260143552e-07
Biological Oxygen Demand,water,kilogram,5.256992412545804e-07
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,5.253078852341907e-07
strontium,Emissions / Emissions to water,kilogram,5.239195356184504e-07
Xenon-133,Emissions / Emissions to air,kilo Becquerel,5.221589105971653e-07
Iron,Emissions / Emissions to water,kilogram,5.110768851169872e-07
copper,Emissions / Emissions to water,kilogram,5.039643647140906e-07
From Forest,Land use / Land transformation,square meter,4.814903353343684e-07
Total Organic Carbon,water,kilogram,4.6972851159724823e-07
Total Organic Carbon,water,kilogram,4.628900774474901e-07
Lead,Resources / Resources from ground,kilogram,4.5590329715489585e-07
From Unspecified,Land use / Land transformation,square meter,4.471382986559725e-07
"Radioactive Species, Other Beta Emitters",air,kilo Becquerel,4.2471047392954763e-07
Uranium-234,Emissions / Emissions to water,kilo Becquerel,4.2148064199064244e-07
boron,Emissions / Emissions to water,kilogram,4.1724630715185427e-07
Magnesium,Emissions / Emissions to water,kilogram,4.1317946504394594e-07
titanium,Emissions / Emissions to water,kilogram,3.8933114680822103e-07
"Permanent Crops, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,3.8860402298086664e-07
Radon-220,air,kilo Becquerel,3.688972365121579e-07
Cesium-137,Emissions / Emissions to water,kilo Becquerel,3.67410929181031e-07
Polonium-210,water,kilo Becquerel,3.6054451442109935e-07
Thorium-234,water,kilo Becquerel,3.49615384540969e-07
Protactinium-234,water,kilo Becquerel,3.495421811823848e-07
Sodium,water,kilogram,3.4197997629644847e-07
Cerium,natural resource,kilogram,3.412040698467561e-07
Methane (biogenic),Emissions / Emissions to air,kilogram,3.3937595343480133e-07
Methane (fossil),Emissions / Emissions to air,kilogram,3.3117584882645577e-07
"Solids, Inorganic",water,kilogram,3.292309905492295e-07
Potassium-40,water,kilo Becquerel,3.1200411422485e-07
nickel,Emissions / Emissions to water,kilogram,2.9782073919992453e-07
To Forest,Land use / Land transformation,square meter,2.847299957857699e-07
Chloride,Emissions / Emissions to water,kilogram,2.8402934043122794e-07
To Arable,Land use / Land transformation,square meter,2.734703798193539e-07
Chloride,Emissions / Emissions to soil,kilogram,2.7054125477284137e-07
"Metamorphous rock, graphite containing",resources / in ground,kilogram,2.6844837319217745e-07
Polonium-210,water,kilo Becquerel,2.62148116382864e-07
Particles (PM10),Emissions / Emissions to air,kilogram,2.567663801466271e-07
Particles (> PM10),air,kilogram,2.5590191755160424e-07
Sulfate Ion,water,kilogram,2.5553672823507606e-07
Molybdenum,Resources / Resources from ground,kilogram,2.476796971250452e-07
Sand,soil,kilogram,2.475081135421032e-07
Potassium,water,kilogram,2.4262760145305995e-07
Aluminium,Emissions / Emissions to air,kilogram,2.216293184995112e-07
Shrub Land,Land use / Land occupation,square meter-year,2.1650446523071958e-07
Hydrogen Chloride,Emissions / Emissions to air,kilogram,2.1433146822576665e-07
Chromium-51,water,kilo Becquerel,2.1348608357856193e-07
Magnesium,Emissions / Emissions to water,kilogram,2.0856873652039766e-07
Iron,Emissions / Emissions to soil,kilogram,2.066637073466172e-07
Hydrogen Chloride,Emissions / Emissions to air,kilogram,2.0587776633147127e-07
To Dump Site,Land use / Land transformation,square meter,2.047002631418559e-07
Carbon Monoxide (biogenic),Emissions / Emissions to air,kilogram,1.926627918670922e-07
Particles (PM2.5),Emissions / Emissions to air,kilogram,1.9099593171530226e-07
"Actinides, Radioactive, Unspecified",water,kilo Becquerel,1.8846211191130903e-07
Titanium,Resources / Resources from ground,kilogram,1.851231846279924e-07
Chemical Oxygen Demand,water,kilogram,1.8304148212061654e-07
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,1.8252312673106896e-07
Particles (> PM10),air,kilogram,1.815089739710679e-07
Biological Oxygen Demand,water,kilogram,1.8109650309010297e-07
"Noise, aircraft, passenger",non material emissions / unspecified,person kilometer,1.8079555483377664e-07
Biological Oxygen Demand,water,kilogram,1.7885081891681617e-07
Phosphorus,Resources / Resources from ground,kilogram,1.7787075623035332e-07
Particles (> PM10),air,kilogram,1.766956935097298e-07
Carbon Monoxide (biogenic),Emissions / Emissions to air,kilogram,1.7125926230278173e-07
Uranium-238,Emissions / Emissions to air,kilo Becquerel,1.6653028079480474e-07
Radium-228,air,kilo Becquerel,1.6327547647077963e-07
Potassium-40,air,kilo Becquerel,1.619739051919745e-07
Uranium-234,Emissions / Emissions to air,kilo Becquerel,1.6053244582246023e-07
Aluminium,Emissions / Emissions to water,kilogram,1.5653910821146354e-07
To Mineral Extraction Site,Land use / Land transformation,square meter,1.5415870152044028e-07
Magnesium,natural resource,kilogram,1.5344750279390588e-07
Kaolinite,soil,kilogram,1.503228632293326e-07
"DOC, Dissolved Organic Carbon",water,kilogram,1.4963890589670837e-07
hydrogen sulfide,Emissions / Emissions to water,kilogram,1.4586425118904491e-07
Uranium-238,Emissions / Emissions to air,kilo Becquerel,1.4439028992993802e-07
Potassium,water,kilogram,1.4396259909442356e-07
Fluoride Ion,Emissions / Emissions to water,kilogram,1.4211196545276434e-07
Ammonia,Emissions / Emissions to air,kilogram,1.38827821375897e-07
From Shrub Land,Land use / Land transformation,square meter,1.3646696996789435e-07
Sulfur,Resources / Resources from ground,kilogram,1.3575185584715615e-07
Total Organic Carbon,water,kilogram,1.2993106416615877e-07
"Wood, soft, standing",resources / biotic,cubic meter,1.2802253424982515e-07
Uranium-238,Emissions / Emissions to water,kilo Becquerel,1.2470063280875258e-07
To Water Bodies,land use,square meter,1.1718752188182169e-07
Iodine-129,Emissions / Emissions to air,kilo Becquerel,1.1604155604334812e-07
Chemical Oxygen Demand,water,kilogram,1.1062581148289134e-07
