flow,compartment,unit,amount
Formaldehyde,Emissions / Emissions to air,kilogram,169.4859355025639
"Wood, hard, standing",resources / biotic,cubic meter,162.02424344685738
Ammonia,Emissions / Emissions to air,kilogram,161.3841218506089
Kaolinite,soil,kilogram,159.36457165554725
Sodium,soil,kilogram,155.52665665520448
Fluorine,natural resource,kilogram,152.13907947484185
Formaldehyde,Emissions / Emissions to air,kilogram,142.84692864445574
selenium,Emissions / Emissions to water,kilogram,140.24364187724808
iron,Emissions / Emissions to soil,kilogram,140.07137303751688
Butane,Emissions / Emissions to air,kilogram,139.65165632367606
Strontium,Emissions / Emissions to water,kilogram,139.59254005718765
Iron,Emissions / Emissions to water,kilogram,137.913655395192
Carbon,soil,kilogram,136.06433677289854
Copper,Emissions / Emissions to air,kilogram,130.82918543301207
Lead,Emissions / Emissions to air,kilogram,128.9690824613058
"Oils, Unspecified",Emissions / Emissions to water,kilogram,117.21537495774687
Bauxite,soil,kilogram,116.875141105318
"Actinides, Radioactive, Unspecified",water,kilo Becquerel,116.22930513421917
bromine,Emissions / Emissions to water,kilogram,108.5652773489191
Potassium,air,kilogram,108.55253076143597
Uranium-238,Emissions / Emissions to air,kilo Becquerel,105.5386414622341
Iron,Emissions / Emissions to soil,kilogram,105.34383145829894
Propane,Emissions / Emissions to air,kilogram,105.14052970954842
Toluene,Emissions / Emissions to air,kilogram,105.00649177524686
Particles (> PM10),air,kilogram,101.42177310989638
Uranium-234,Emissions / Emissions to air,kilo Becquerel,96.9666484398939
"Carboxylic Acids, Unspecified",water,kilogram,95.80819635314073
Nitrogen,air,kilogram,92.53836383585119
To Shrub Land,Land use / Land transformation,square meter,90.48663894729421
Nitrous Oxide,Emissions / Emissions to air,kilogram,89.79174072803728
Pentane,Emissions / Emissions to air,kilogram,89.47036353401806
Propane,Emissions / Emissions to air,kilogram,85.14817013180073
Sulfate Ion,air,kilogram,83.59654352684544
Ammonium,Emissions / Emissions to water,kilogram,82.82215039433255
Nickel,Emissions / Emissions to air,kilogram,78.85925187462826
Chlorate ion,Emissions / Emissions to water,kilogram,78.23239082742774
Potassium-40,air,kilo Becquerel,77.15636856999585
Cumene,Emissions / Emissions to water,kilogram,74.91590465259017
Ethane,Emissions / Emissions to air,kilogram,74.90217107847296
"Oils, Unspecified",Emissions / Emissions to water,kilogram,74.29017239143388
Nitrous Oxide,Emissions / Emissions to air,kilogram,73.79217726653673
Iodine-129,Emissions / Emissions to air,kilo Becquerel,71.74944234141984
Scandium,"emissions to water / groundwater, long-term",kilogram,70.75060121529305
aluminium,Emissions / Emissions to soil,kilogram,70.01819197533185
Barium,Emissions / Emissions to water,kilogram,66.8630941560483
Magnesium,natural resource,kilogram,64.70077706673396
"Water, salt, sole",resources / in water,cubic meter,64.3422777768729
"To Arable, Fallow",Land use / Land transformation,square meter,63.843534383498174
Chromium-51,water,kilo Becquerel,63.050461862938675
Formaldehyde,Emissions / Emissions to air,kilogram,62.23713570397014
"Carboxylic Acids, Unspecified",water,kilogram,62.224126089049236
Magnesium chloride,resources / in ground,kilogram,61.53252293103618
Particles (PM10),Emissions / Emissions to air,kilogram,60.85306283517304
To Inland Water Bodies,land use,square meter,60.43138948524836
Fluoride Ion,Emissions / Emissions to water,kilogram,60.066678261022076
Hydrogen,air,kilogram,59.64188706549842
"Agriculture, Mosaic",Land use / Land occupation,square meter-year,59.47957214132147
Butane,Emissions / Emissions to air,kilogram,59.0888370071442
Calcium,Emissions / Emissions to soil,kilogram,58.87056261558089
Chromium,Emissions / Emissions to air,kilogram,58.756201210549186
2-hydroxybenzonitrile,Emissions / Emissions to air,kilogram,58.584773929865996
