flow,compartment,unit,amount
Strontium,Emissions / Emissions to water,kilogram,3.2932165635385572e-06
To Shrub Land,Land use / Land transformation,square meter,3.1747872740556707e-06
Pentane,Emissions / Emissions to air,kilogram,3.162723780216103e-06
Chromium,Emissions / Emissions to water,kilogram,3.0363161901064607e-06
Nickel,Emissions / Emissions to water,kilogram,3.0287671322440847e-06
Lead-210,Emissions / Emissions to air,kilo Becquerel,3.0263354079783874e-06
Molybdenum,Emissions / Emissions to water,kilogram,3.025167277595094e-06
Antimony,Emissions / Emissions to water,kilogram,3.0204502987154447e-06
Copper,Emissions / Emissions to water,kilogram,3.0159250764854012e-06
Vanadium,Emissions / Emissions to water,kilogram,3.0087852303833856e-06
Tin atom,Emissions / Emissions to water,kilogram,3.002299652919795e-06
Phosphorus,Resources / Resources from ground,kilogram,2.956916692275855e-06
Thorium-234,water,kilo Becquerel,2.9279242467350637e-06
Protactinium-234,water,kilo Becquerel,2.9273932964358344e-06
Chloride,Emissions / Emissions to water,kilogram,2.8996812606981433e-06
Carbonate Ion,water,kilogram,2.6898403770659202e-06
To Inland Water Bodies,land use,square meter,2.656443919345569e-06
Bromate,Emissions / Emissions to water,kilogram,2.5863090455824726e-06
Strontium,Emissions / Emissions to water,kilogram,2.582084972900879e-06
Methane (fossil),Emissions / Emissions to air,kilogram,2.5808472298364557e-06
Sodium sulfate,resources / in ground,kilogram,2.5718290146125095e-06
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,2.385990442879004e-06
Sulfur Dioxide,Emissions / Emissions to air,kilogram,2.3313901239292024e-06
Cesium-137,Emissions / Emissions to water,kilo Becquerel,2.2800641369899807e-06
Xenon-135,air,kilo Becquerel,2.239706628045392e-06
Propane,Emissions / Emissions to air,kilogram,2.1489571280042606e-06
Carbon Monoxide (biogenic),Emissions / Emissions to air,kilogram,2.132058230588562e-06
Carbonate Ion,water,kilogram,2.1140867011351608e-06
titanium,Emissions / Emissions to water,kilogram,2.0761906464852087e-06
Nitrite,Emissions / Emissions to water,kilogram,2.0684520515674142e-06
"Noise, aircraft, passenger",non material emissions / unspecified,person kilometer,2.0295235466183682e-06
"Wood, soft, standing",resources / biotic,cubic meter,1.9289044974745803e-06
lake water,Resources / Resources from water,cubic meter,1.9105364398603283e-06
Particles (PM2.5),Emissions / Emissions to air,kilogram,1.868125015068045e-06
aluminium,Emissions / Emissions to soil,kilogram,1.81380436385939e-06
"Carboxylic Acids, Unspecified",water,kilogram,1.8078034218604435e-06
Hexane,Emissions / Emissions to air,kilogram,1.769108790805991e-06
"From Pasture/meadow, Intensive",Land use / Land transformation,square meter,1.7273611952004403e-06
Chemical Oxygen Demand,water,kilogram,1.7191468251276728e-06
Biological Oxygen Demand,water,kilogram,1.6999164934104116e-06
Arable,Land use / Land occupation,square meter-year,1.6970613460667746e-06
"Actinides, Radioactive, Unspecified",water,kilo Becquerel,1.6633148469075614e-06
"Permanent Crops, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,1.6040396855791923e-06
Ammonium,Emissions / Emissions to water,kilogram,1.5668777099439919e-06
To Water Bodies,land use,square meter,1.5400292597767601e-06
Uranium-238,Emissions / Emissions to air,kilo Becquerel,1.5169823500678604e-06
Particles (> PM10),air,kilogram,1.4880639098500785e-06
"Carbon, organic, in soil or biomass stock",resources / in ground,kilogram,1.46903551776712e-06
Particles (PM2.5),Emissions / Emissions to air,kilogram,1.464162702982381e-06
Magnesium,Emissions / Emissions to soil,kilogram,1.4510436867513678e-06
From Arable,Land use / Land transformation,square meter,1.420567020593896e-06
"Nitrogen, Total (excluding N2)",Emissions / Emissions to water,kilogram,1.390835246429466e-06
Hydrogen Chloride,Emissions / Emissions to air,kilogram,1.3537416955223152e-06
"Carboxylic Acids, Unspecified",water,kilogram,1.3495861825958466e-06
Uranium-234,Emissions / Emissions to air,kilo Becquerel,1.3288350278051779e-06
Molybdenum,Resources / Resources from ground,kilogram,1.2837951327677371e-06
Kaolinite,soil,kilogram,1.2832498214992252e-06
Chromium-51,water,kilo Becquerel,1.2661487736629846e-06
Barium,Emissions / Emissions to water,kilogram,1.243180836104963e-06
Particles (> PM10),air,kilogram,1.2429685410075175e-06
Ammonia,Emissions / Emissions to air,kilogram,1.1843526948269085e-06
Potassium,water,kilogram,1.176221765377119e-06
"To Traffic Area, Road Network",Land use / Land transformation,square meter,1.1635410507425961e-06
Nitrous Oxide,Emissions / Emissions to air,kilogram,1.1376000983066673e-06
Nitrogen,air,kilogram,1.0978645532592933e-06
sulfur,Emissions / Emissions to soil,kilogram,1.08828262845814e-06
"Wood, hard, standing",resources / biotic,cubic meter,1.0663686781936217e-06
"From Forest, Natural",Land use / Land transformation,square meter,1.0268409049719692e-06
Iodine-129,Emissions / Emissions to air,kilo Becquerel,1.0241613263124545e-06
Nitrite,Emissions / Emissions to water,kilogram,1.0164425906501296e-06
Carbon Monoxide (biogenic),Emissions / Emissions to air,kilogram,9.990162775046124e-07
Barium(2+),Emissions / Emissions to water,kilogram,9.944184754370738e-07
Hydrogen Chloride,Emissions / Emissions to air,kilogram,9.338035772751112e-07
Barium(2+),Emissions / Emissions to soil,kilogram,9.069021612960493e-07
Lead,Resources / Resources from ground,kilogram,8.967588148745306e-07
Particles (PM10),Emissions / Emissions to air,kilogram,8.928383440597061e-07
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,8.799706525673882e-07
Carbon,soil,kilogram,8.709210900857257e-07
Potassium-40,water,kilo Becquerel,8.357859549475725e-07
Colemanite,soil,kilogram,8.354608069057464e-07
iron,Emissions / Emissions to air,kilogram,8.113005794987068e-07
"To Traffic Area, Rail/road Embankment",Land use / Land transformation,square meter,7.983521588405778e-07
cadmium,Emissions / Emissions to water,kilogram,7.856410202865799e-07
Total Organic Carbon,water,kilogram,7.846354490305938e-07
Helium,air,kilogram,7.832735600905027e-07
Particles (PM10),Emissions / Emissions to air,kilogram,7.751076479337406e-07
Aluminium,Emissions / Emissions to air,kilogram,7.460703972229013e-07
cobalt,Emissions / Emissions to water,kilogram,7.427203970315078e-07
Fluorine,natural resource,kilogram,7.393865340714208e-07
Hydrogen Chloride,Emissions / Emissions to air,kilogram,7.283299800850767e-07
Ethane,Emissions / Emissions to air,kilogram,7.263875967794778e-07
Particles (PM10),Emissions / Emissions to air,kilogram,7.242231962251437e-07
bromine,Emissions / Emissions to water,kilogram,7.178656288757095e-07
Pentane,Emissions / Emissions to air,kilogram,7.046053459324063e-07
Sulfate Ion,air,kilogram,6.869554890219129e-07
Iron,Emissions / Emissions to soil,kilogram,6.836219802397221e-07
Agriculture,Land use / Land occupation,square meter-year,6.52515903368824e-07
Nitrous Oxide,Emissions / Emissions to air,kilogram,6.36759526224425e-07
Potassium,soil,kilogram,6.348702352956071e-07
Zinc-65,water,kilo Becquerel,6.267261769158817e-07
Ammonia,Emissions / Emissions to air,kilogram,6.055132689531952e-07
Particles (PM2.5),Emissions / Emissions to air,kilogram,5.952255631644434e-07
Iodide Ion,Emissions / Emissions to water,kilogram,5.607945364266521e-07
Carbon-14,Emissions / Emissions to air,kilo Becquerel,5.5553821589282e-07
Lead(2+),Emissions / Emissions to water,kilogram,5.12732321530835e-07
Selenium,Emissions / Emissions to water,kilogram,5.034076108662542e-07
Radium-228,air,kilo Becquerel,4.962974627791254e-07
Chrysotile,resources / in ground,kilogram,4.904301159597225e-07
Propane,Emissions / Emissions to air,kilogram,4.893603924151577e-07
vanadium,Emissions / Emissions to water,kilogram,4.87594748654392e-07
Butane,Emissions / Emissions to air,kilogram,4.819773795726273e-07
Aluminium,Emissions / Emissions to water,kilogram,4.6865058818392084e-07
"DOC, Dissolved Organic Carbon",water,kilogram,4.633642299604776e-07
Nitrous Oxide,Emissions / Emissions to air,kilogram,4.5162251325126176e-07
"From Traffic Area, Rail/road Embankment",Land use / Land transformation,square meter,4.463953376380502e-07
Tin atom,Resources / Resources from ground,kilogram,4.459010327115088e-07
Thorium-230,Emissions / Emissions to air,kilo Becquerel,4.33220425515179e-07
fluorane,Emissions / Emissions to air,kilogram,4.31005358139199e-07
Ozone,air,kilogram,4.299123036555992e-07
Particles (> PM10),air,kilogram,4.298689095213141e-07
Iodide Ion,Emissions / Emissions to water,kilogram,4.2903450764993575e-07
Bromine,Emissions / Emissions to water,kilogram,4.2056115553189244e-07
Sand,soil,kilogram,4.0315056630508623e-07
Potassium,air,kilogram,3.9787038028530436e-07
Potassium-40,air,kilo Becquerel,3.968980677790542e-07
"To Traffic Area, Rail Network",Land use / Land transformation,square meter,3.7575470563352176e-07
"Noise, aircraft, freight",non material emissions / unspecified,ton kilometer,3.7500879892790517e-07
Xenon-138,air,kilo Becquerel,3.717183455617775e-07
Antimony-124,Emissions / Emissions to water,kilo Becquerel,3.70666891415315e-07
Manganese-54,Emissions / Emissions to water,kilo Becquerel,3.595587764241615e-07
Carbon disulfide,Emissions / Emissions to air,kilogram,3.450207229335582e-07
Xenon-137,air,kilo Becquerel,3.385945533185756e-07
Bromine,Emissions / Emissions to water,kilogram,3.36984912290783e-07
Hexane,Emissions / Emissions to air,kilogram,3.3139140001907095e-07
2-hydroxybenzonitrile,Emissions / Emissions to air,kilogram,3.277410865325193e-07
Antimony-125,Emissions / Emissions to water,kilo Becquerel,3.1232174635776884e-07
Cadmium,Emissions / Emissions to water,kilogram,3.0527090465924276e-07
Chromium VI,"emissions to water / groundwater, long-term",kilogram,3.0485705082475353e-07
Mercury(2+),Emissions / Emissions to water,kilogram,3.01895757073022e-07
Uranium-238,Emissions / Emissions to air,kilo Becquerel,2.9765085702576056e-07
To Pasture/meadow,Land use / Land transformation,square meter,2.9564534080308185e-07
Sulfide ion,water,kilogram,2.9081007911642957e-07
"Oils, Unspecified",Emissions / Emissions to water,kilogram,2.8923194866927755e-07
Formaldehyde,Emissions / Emissions to air,kilogram,2.8217024093003134e-07
Iron,Emissions / Emissions to soil,kilogram,2.763243650461977e-07
"Hydrocarbons, Aromatic",Emissions / Emissions to water,kilogram,2.55417182644162e-07
antimony,Emissions / Emissions to water,kilogram,2.547005112985427e-07
arsenic,Emissions / Emissions to water,kilogram,2.5413391351131903e-07
Calcium,Emissions / Emissions to soil,kilogram,2.526014472198976e-07
Benzene,Emissions / Emissions to air,kilogram,2.514384527812376e-07
To Unspecified,Land use / Land transformation,square meter,2.4623557706586714e-07
Calcium,Emissions / Emissions to air,kilogram,2.425748070101625e-07
Nitrogen,water,kilogram,2.1709372567227283e-07
"Aerosols, Radioactive, Unspecified",air,kilo Becquerel,2.1594866270804282e-07
"Water, salt, sole",resources / in water,cubic meter,2.0288289662326648e-07
Magnesium,natural resource,kilogram,1.9793699068192052e-07
