flow,compartment,unit,amount
Xenon-137,air,kilo Becquerel,6.774012884287702e-06
Xenon-135,air,kilo Becquerel,6.755570585186289e-06
"DOC, Dissolved Organic Carbon",water,kilogram,6.6524426188552045e-06
"From Forest, Natural",Land use / Land transformation,square meter,6.229917543571292e-06
Methane (biogenic),Emissions / Emissions to air,kilogram,6.162801719851075e-06
zinc,Emissions / Emissions to water,kilogram,6.101942799250111e-06
Chloride,Emissions / Emissions to water,kilogram,6.0566186900906075e-06
Sodium,soil,kilogram,6.025630739141228e-06
Lead-210,Emissions / Emissions to air,kilo Becquerel,6.014794467070323e-06
Calcium,Emissions / Emissions to water,kilogram,5.960369223934112e-06
strontium,Emissions / Emissions to water,kilogram,5.8598881711193215e-06
Carbonate Ion,water,kilogram,5.73593917449544e-06
Radium-228,air,kilo Becquerel,5.69675467581659e-06
iron,Emissions / Emissions to soil,kilogram,5.678316040068972e-06
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,5.3302393739637225e-06
Water,Emissions / Emissions to water,cubic meter,5.1863593377469715e-06
Uranium-238,Emissions / Emissions to water,kilo Becquerel,5.035533725665929e-06
Particles (PM10),Emissions / Emissions to air,kilogram,4.999166621425163e-06
Radon-220,air,kilo Becquerel,4.99003847218557e-06
Hydrogen,air,kilogram,4.756983909874278e-06
Titanium,Resources / Resources from ground,kilogram,4.756557678072786e-06
Particles (> PM10),air,kilogram,4.4701462812828305e-06
Propane,Emissions / Emissions to air,kilogram,4.392349734660788e-06
Xenon-133m,air,kilo Becquerel,4.2992315155302955e-06
Strontium,Emissions / Emissions to water,kilogram,4.28749905591169e-06
Hydrogen Chloride,Emissions / Emissions to air,kilogram,4.070267212234346e-06
Silicon,Emissions / Emissions to water,kilogram,4.070101926581991e-06
"Carboxylic Acids, Unspecified",water,kilogram,3.854478109756178e-06
Chemical Oxygen Demand,water,kilogram,3.810602301352446e-06
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,3.7924153013059066e-06
Butane,Emissions / Emissions to air,kilogram,3.774826790605537e-06
Biological Oxygen Demand,water,kilogram,3.7501864023845294e-06
lake water,Resources / Resources from water,cubic meter,3.7002163131295646e-06
Carbonate Ion,water,kilogram,3.475702483220045e-06
Ammonium,Emissions / Emissions to water,kilogram,3.4709038026513977e-06
"Permanent Crops, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,3.4347124023216318e-06
Particles (PM2.5),Emissions / Emissions to air,kilogram,3.3869602392606373e-06
Ammonium,Emissions / Emissions to water,kilogram,3.3237638837634492e-06
Sodium sulfate,resources / in ground,kilogram,3.297158814153113e-06
Lead,Resources / Resources from ground,kilogram,3.2892789104217618e-06
Radium-226,Emissions / Emissions to air,kilo Becquerel,3.271944689031673e-06
To Water Bodies,land use,square meter,3.255540416335385e-06
Potassium-40,water,kilo Becquerel,3.148505532238511e-06
Methane (biogenic),Emissions / Emissions to air,kilogram,2.9194365524189827e-06
aluminium,Emissions / Emissions to soil,kilogram,2.8380124823697264e-06
titanium,Emissions / Emissions to water,kilogram,2.7894134665572573e-06
Uranium-235,Emissions / Emissions to water,kilo Becquerel,2.6830690175950003e-06
Pentane,Emissions / Emissions to air,kilogram,2.6758265513445545e-06
Barium,Emissions / Emissions to water,kilogram,2.6497789143093817e-06
Uranium alpha,emissions to air / low. pop.,kilo Becquerel,2.644733511794089e-06
fluorane,Emissions / Emissions to air,kilogram,2.589262291943004e-06
Aluminium,Emissions / Emissions to air,kilogram,2.5809241378114117e-06
boron,Emissions / Emissions to water,kilogram,2.547280359605993e-06
Krypton-89,air,kilo Becquerel,2.5182912217834393e-06
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,2.414822649456954e-06
Fluorine,natural resource,kilogram,2.413859418579715e-06
Particles (PM10),Emissions / Emissions to air,kilogram,2.3873448825838026e-06
nickel,Emissions / Emissions to water,kilogram,2.3593319552525103e-06
"Wood, soft, standing",resources / biotic,cubic meter,2.3098697891271258e-06
Magnesium,Emissions / Emissions to soil,kilogram,2.270410428825563e-06
"Carboxylic Acids, Unspecified",water,kilogram,2.259003527073013e-06
