flow,compartment,unit,amount
"From Pasture/meadow, Intensive",Land use / Land transformation,square meter,0.004048276483041018
Silicon,Emissions / Emissions to air,kilogram,0.004007711865617216
Carbon Monoxide (biogenic),Emissions / Emissions to air,kilogram,0.003980601018945369
From Arable,Land use / Land transformation,square meter,0.0038720535200358463
Sodium chloride,resources / in water,kilogram,0.0038627814538365335
"Noise, aircraft, freight",non material emissions / unspecified,ton kilometer,0.0038150691218632967
Potassium-40,air,kilo Becquerel,0.0037494186713596563
Chemical Oxygen Demand,water,kilogram,0.0035068229702800648
Carbon disulfide,Emissions / Emissions to air,kilogram,0.003460468480342966
"To Traffic Area, Road Network",Land use / Land transformation,square meter,0.0033299274224212567
Uranium-234,Emissions / Emissions to water,kilo Becquerel,0.003294216923580173
Phosphorus,Resources / Resources from ground,kilogram,0.0032362961347087915
2-hydroxybenzonitrile,Emissions / Emissions to air,kilogram,0.0031604424572524176
Particles (> PM10),air,kilogram,0.0029870963233618237
To Inland Water Bodies,land use,square meter,0.002853021074911617
Titanium,Resources / Resources from ground,kilogram,0.0027880346681109338
Uranium-238,Emissions / Emissions to air,kilo Becquerel,0.0027769789242292594
Thorium-234,water,kilo Becquerel,0.0027315134568312604
Protactinium-234,water,kilo Becquerel,0.0027310295636592957
From Mineral Extraction Site,Land use / Land transformation,square meter,0.002718605816601958
Aluminium,Emissions / Emissions to air,kilogram,0.0027051105399505345
Ethane,Emissions / Emissions to air,kilogram,0.002641582341227054
From Seabed,land use,square meter,0.0025190913194824394
Boron,Emissions / Emissions to water,kilogram,0.0024993708335838936
"DOC, Dissolved Organic Carbon",water,kilogram,0.002465034553962701
"Agriculture, Mosaic",Land use / Land occupation,square meter-year,0.0024191927951460962
Calcium,Emissions / Emissions to soil,kilogram,0.002413841633938052
"Volume Occupied, Final Repository For Radioactive Waste",land use,cubic meter,0.002400294034464925
To Water Bodies,land use,square meter,0.002391148344087374
Chromium VI,"emissions to water / groundwater, long-term",kilogram,0.00234241780015301
"Carbon, organic, in soil or biomass stock",resources / in ground,kilogram,0.002324902579592756
Cesium-137,Emissions / Emissions to water,kilo Becquerel,0.002302650692375784
Potassium,water,kilogram,0.0021814090242776923
Aluminium,Emissions / Emissions to water,kilogram,0.0021735667858150433
"DOC, Dissolved Organic Carbon",water,kilogram,0.002172451998548847
"Permanent Crops, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,0.0021287159953388957
lead,Emissions / Emissions to water,kilogram,0.0021274451800455045
chloride,Emissions / Emissions to soil,kilogram,0.002111814492291986
Potassium-40,water,kilo Becquerel,0.0020994061653137547
vanadium,Emissions / Emissions to water,kilogram,0.0019640445840687216
Chlorate ion,Emissions / Emissions to water,kilogram,0.0019480450487227052
"To Traffic Area, Rail/road Embankment",Land use / Land transformation,square meter,0.001944824922522019
arsenic,Emissions / Emissions to water,kilogram,0.0018622117888609307
Carbon,soil,kilogram,0.0018099838174205007
"From Traffic Area, Rail/road Embankment",Land use / Land transformation,square meter,0.001792024218251115
Polonium-210,water,kilo Becquerel,0.0017537863319849324
Sodium sulfate,resources / in ground,kilogram,0.0017101267328173079
Nitrogen,water,kilogram,0.0016322814617535384
"Actinides, Radioactive, Unspecified",water,kilo Becquerel,0.0015692483468558575
Barium sulfate,Emissions / Emissions to water,kilogram,0.0015412211259910559
Zinc,Emissions / Emissions to air,kilogram,0.0015343673082806736
"From Forest, Natural",Land use / Land transformation,square meter,0.0015266338269639692
Strontium,Emissions / Emissions to water,kilogram,0.0014674000086940724
Ammonia,Emissions / Emissions to air,kilogram,0.0014653284128897765
Thorium-228,air,kilo Becquerel,0.0014507696225997796
Uranium-238,Emissions / Emissions to air,kilo Becquerel,0.0014352665488589597
Phosphorus,Emissions / Emissions to water,kilogram,0.0014305605338710043
Water,Emissions / Emissions to water,cubic meter,0.001401832754424547
Particles (> PM10),air,kilogram,0.0013905580684981523
"Energy, Geothermal, Converted",natural resource,megajoule,0.0013650262132167718
Lead,Resources / Resources from ground,kilogram,0.0013340177836997501
Ammonium,Emissions / Emissions to water,kilogram,0.0013314968974024988
"Wood, hard, standing",resources / biotic,cubic meter,0.0013236078188431435
Sodium,soil,kilogram,0.001308591207096273
Xenon-138,air,kilo Becquerel,0.0012732594896078264
Uranium-234,Emissions / Emissions to air,kilo Becquerel,0.0012365540423360086
iron,Emissions / Emissions to soil,kilogram,0.0012073061348204515
Carbonate Ion,water,kilogram,0.0012033424520259575
Strontium,Emissions / Emissions to water,kilogram,0.0011604069672607963
Xenon-137,air,kilo Becquerel,0.001159799437638329
Iron,Emissions / Emissions to air,kilogram,0.001128349934653889
Nitrogen,air,kilogram,0.0011198984049992432
tin,Emissions / Emissions to water,kilogram,0.0011168762574615995
Nitrous Oxide,Emissions / Emissions to air,kilogram,0.001063956832388749
Chromium-51,water,kilo Becquerel,0.0010516928668753488
"Oils, Unspecified",Emissions / Emissions to water,kilogram,0.0009915724917016278
Potassium-40,water,kilo Becquerel,0.0009880925145430797
Copper,Emissions / Emissions to air,kilogram,0.0009847499976429655
Kaolinite,soil,kilogram,0.0009829298285439526
Thorium-232,emissions to air / high. pop.,kilo Becquerel,0.0009794997267751377
Magnesium,Emissions / Emissions to air,kilogram,0.0009684333705091521
